nr,site,timestamp,method,score,rang_in_methode,segment,wochentag,feiertag,plot_datei,also_flagged_by,label,notiz
1,Baumarkt_03,2024-05-08 02:00:00+02:00,cluster_segment,12.397034648864597,1,nachts,Wednesday,nein,plot_001.png,,,
2,Baumarkt_06,2023-01-13 07:30:00+01:00,arima,20.44124945858075,4,vormittag,Friday,nein,plot_002.png,,,
3,Baumarkt_06,2023-01-13 08:00:00+01:00,arima,-16.662834450609463,14,vormittag,Friday,nein,plot_003.png,,,
4,Baumarkt_06,2023-06-30 08:00:00+02:00,arima,-16.9079605121134,13,vormittag,Friday,nein,plot_004.png,,,
5,Baumarkt_06,2023-10-02 13:00:00+02:00,cluster_segment,9.828738516054814,7,mittag,Monday,nein,plot_005.png,,,
6,Baumarkt_06,2024-01-26 07:30:00+01:00,arima,18.157611961976038,9,vormittag,Friday,nein,plot_006.png,,,
7,Baumarkt_06,2024-03-22 07:30:00+01:00,arima,19.595469961979916,7,vormittag,Friday,nein,plot_007.png,,,
8,Baumarkt_06,2024-07-26 08:00:00+02:00,arima,-17.53608905768965,12,vormittag,Friday,nein,plot_008.png,,,
9,Baumarkt_06,2024-08-02 08:30:00+02:00,arima,-17.69158434048716,11,vormittag,Friday,nein,plot_009.png,,,
10,Baumarkt_06,2024-10-02 07:45:00+02:00,zscore_stl,8.364794277923885,16,vormittag,Wednesday,nein,plot_010.png,arima,,
11,Baumarkt_06,2024-10-02 08:00:00+02:00,arima,-20.27264909682467,5,vormittag,Wednesday,nein,plot_011.png,,,
12,Baumarkt_06,2024-10-18 08:00:00+02:00,arima,-16.39541147937813,15,vormittag,Friday,nein,plot_012.png,,,
13,Baumarkt_06,2025-02-24 07:30:00+01:00,arima,17.98489496484952,10,vormittag,Monday,nein,plot_013.png,,,
14,Baumarkt_06,2025-03-21 07:30:00+01:00,arima,18.21650641600004,8,vormittag,Friday,nein,plot_014.png,,,
15,Baumarkt_06,2025-05-23 08:15:00+02:00,arima,-16.062327084132395,17,vormittag,Friday,nein,plot_015.png,,,
16,Baumarkt_06,2025-09-05 07:15:00+02:00,zscore_stl,9.102558322562308,5,vormittag,Friday,nein,plot_016.png,arima,,
17,Baumarkt_06,2025-09-05 07:30:00+02:00,zscore_stl,9.062059705303724,6,vormittag,Friday,nein,plot_017.png,,,
18,Baumarkt_06,2025-11-07 07:30:00+01:00,arima,15.753438056122855,18,vormittag,Friday,nein,plot_018.png,,,
19,Baumarkt_06,2026-02-20 07:30:00+01:00,zscore_stl,9.624892101822862,1,vormittag,Friday,nein,plot_019.png,arima,,
20,Baumarkt_06,2026-02-20 08:00:00+01:00,arima,-19.924624683802843,6,vormittag,Friday,nein,plot_020.png,,,
21,Baumarkt_08,2023-03-02 01:00:00+01:00,cluster_segment,11.038120915355195,2,nachts,Thursday,nein,plot_021.png,,,
22,Baumarkt_08,2023-03-03 01:00:00+01:00,cluster_segment,9.167175998110999,13,nachts,Friday,nein,plot_022.png,,,
23,Baumarkt_08,2023-03-04 01:00:00+01:00,cluster_segment,9.527782460347602,10,nachts,Saturday,nein,plot_023.png,,,
24,Baumarkt_08,2023-03-05 01:00:00+01:00,cluster_segment,9.154126065361622,14,nachts,Sunday,nein,plot_024.png,,,
25,Baumarkt_08,2023-03-06 01:00:00+01:00,cluster_segment,9.654529425736365,9,nachts,Monday,nein,plot_025.png,,,
26,Baumarkt_08,2024-12-31 12:00:00+01:00,cluster_segment,8.10225883139364,20,mittag,Tuesday,nein,plot_026.png,,,
27,Baumarkt_08,2025-07-14 02:00:00+02:00,cluster_segment,9.708376287169328,8,nachts,Monday,nein,plot_027.png,,,
28,Baumarkt_10,2025-12-19 16:15:00+01:00,zscore_stl,8.820809702422308,10,nachmittag,Friday,nein,plot_028.png,,,
29,Baumarkt_14,2024-04-07 01:15:00+02:00,zscore_stl,8.322969097640412,17,nachts,Sunday,nein,plot_029.png,,,
30,Baumarkt_14,2024-04-27 02:30:00+02:00,zscore_stl,8.52810945692045,13,nachts,Saturday,nein,plot_030.png,,,
31,Baumarkt_14,2024-05-01 02:00:00+02:00,zscore_stl,9.161351234958522,4,nachts,Wednesday,ja,plot_031.png,,,
32,Baumarkt_14,2024-05-25 02:15:00+02:00,zscore_stl,8.937328206411655,8,nachts,Saturday,nein,plot_032.png,,,
33,Baumarkt_14,2024-07-20 02:15:00+02:00,zscore_stl,8.27066996777833,20,nachts,Saturday,nein,plot_033.png,,,
34,Baumarkt_14,2024-09-14 01:45:00+02:00,zscore_stl,8.922090473141667,9,nachts,Saturday,nein,plot_034.png,,,
35,Baumarkt_14,2025-09-13 02:00:00+02:00,zscore_stl,9.390942069715537,3,nachts,Saturday,nein,plot_035.png,,,
36,Baumarkt_14,2025-10-11 02:00:00+02:00,zscore_stl,9.468806034028521,2,nachts,Saturday,nein,plot_036.png,,,
